Código,Unidade Territorial,UF_x,Referência,pop_censo_2022,pcd_por_1000,idosos_por_1000
354270,RESTINGA,SP,2024-08-01,7762.0,0.0,0.0
430593,CORONEL PILAR,RS,2025-04-01,1602.0,0.0,0.0
430593,CORONEL PILAR,RS,2025-03-01,1602.0,0.0,0.0
431861,SÃO JOSÉ DO SUL,RS,2024-02-01,2464.0,0.4058441558441559,1.6233766233766236
431861,SÃO JOSÉ DO SUL,RS,2024-01-01,2464.0,0.4058441558441559,1.6233766233766236
210087,ARAGUANÃ,MA,2024-02-01,15675.0,0.44657097288676234,0.19138755980861244
210087,ARAGUANÃ,MA,2024-03-01,15675.0,0.44657097288676234,0.19138755980861244
210087,ARAGUANÃ,MA,2024-01-01,15675.0,0.44657097288676234,0.19138755980861244
210087,ARAGUANÃ,MA,2024-04-01,15675.0,0.44657097288676234,0.19138755980861244
171865,RIO DA CONCEIÇÃO,TO,2025-10-01,2211.0,0.4522840343735866,0.4522840343735866
171865,RIO DA CONCEIÇÃO,TO,2025-08-01,2211.0,0.4522840343735866,0.4522840343735866
171865,RIO DA CONCEIÇÃO,TO,2025-09-01,2211.0,0.4522840343735866,0.4522840343735866
171865,RIO DA CONCEIÇÃO,TO,2025-07-01,2211.0,0.4522840343735866,0.9045680687471732
210083,APICUM-AÇU,MA,2025-12-01,17582.0,0.45501080650665454,0.2843817540666591
210083,APICUM-AÇU,MA,2025-10-01,17582.0,0.45501080650665454,0.05687635081333182
210083,APICUM-AÇU,MA,2025-11-01,17582.0,0.45501080650665454,0.3412581048799909
421835,TREVISO,SC,2025-12-01,4002.0,0.49975012493753124,1.4992503748125936
421835,TREVISO,SC,2025-11-01,4002.0,0.49975012493753124,1.4992503748125936
421835,TREVISO,SC,2025-10-01,4002.0,0.49975012493753124,1.4992503748125936
421835,TREVISO,SC,2024-01-01,4002.0,0.49975012493753124,0.9995002498750625
