Código,Unidade Territorial,UF_x,Referência,pop_censo_2022,pcd_por_1000,idosos_por_1000
110001,ALTA FLORESTA DOESTE,RO,2024-01-01,22516.0,20.918457985432582,4.9298276780955765
110002,ARIQUEMES,RO,2024-01-01,111148.0,20.288264296253644,10.91337675891604
110003,CABIXI,RO,2024-01-01,5067.0,12.828103414249062,4.144464179988159
110004,CACOAL,RO,2024-01-01,86416.0,19.85743380855397,8.239214960192557
110005,CEREJEIRAS,RO,2024-01-01,16088.0,23.12282446544008,6.837394331178518
110006,COLORADO DO OESTE,RO,2024-01-01,15213.0,24.058371129954644,8.80825609675935
110007,CORUMBIARA,RO,2024-01-01,7052.0,9.07543959160522,2.410663641520136
110008,COSTA MARQUES,RO,2024-01-01,19255.0,9.348221241236041,6.803427681121787
110009,ESPIGÃO DOESTE,RO,2024-01-01,33009.0,25.417310430488655,7.0889757338907575
110010,GUAJARÁ-MIRIM,RO,2024-01-01,46930.0,22.458981461751545,18.069465160877904
110011,JARU,RO,2024-01-01,51469.0,28.016864520390914,8.179680973012882
110012,JI-PARANÁ,RO,2024-01-01,131026.0,20.484483995542867,14.645948132431732
110013,MACHADINHO DOESTE,RO,2024-01-01,41724.0,16.441376665707985,3.9545585274662063
110014,NOVA BRASILÂNDIA DOESTE,RO,2024-01-01,20504.0,15.850565743269605,1.8532969176746001
110015,OURO PRETO DO OESTE,RO,2024-01-01,35445.0,31.513612639300323,10.128367893920158
110018,PIMENTA BUENO,RO,2024-01-01,37098.0,19.461965604614804,10.755296781497654
110020,PORTO VELHO,RO,2024-01-01,548952.0,20.30232151444935,15.265451259855142
110025,PRESIDENTE MÉDICI,RO,2024-01-01,18165.0,27.910817506193226,9.854115056427194
110026,RIO CRESPO,RO,2024-01-01,3843.0,7.285974499089253,2.8623471246422065
110028,ROLIM DE MOURA,RO,2024-01-01,55748.0,22.76314845375619,9.578818971084164
110029,SANTA LUZIA DOESTE,RO,2024-01-01,5942.0,20.36351396836082,2.187815550319758
110030,VILHENA,RO,2024-01-01,104517.0,16.485356449190085,9.108566070591387
110032,SÃO MIGUEL DO GUAPORÉ,RO,2024-01-01,23147.0,13.306259990495528,3.6721821402341552
110033,NOVA MAMORÉ,RO,2024-01-01,32184.0,17.120308227690778,7.084265473527219
110034,ALVORADA DOESTE,RO,2024-01-01,13807.0,19.989860215832547,5.866589411168248
110037,ALTO ALEGRE DOS PARECIS,RO,2024-01-01,13268.0,7.009345794392523,1.2812782634911064
110040,ALTO PARAÍSO,RO,2024-01-01,22258.0,15.140623596010425,6.469583969808609
110045,BURITIS,RO,2024-01-01,41043.0,19.443023170820847,7.2363131350047505
