nome_municipio,geocodigo,mesorregiao,codigo_ibge,regiao,sigla_uf,georef_location,codigo_ibge_uf,uf_municipio,nome_uf
Godofredo Viana,2104305,OESTE MARANHENSE,210430,Nordeste,MA,"-1.4030000\,-45.7800000",21,MA-Godofredo Viana,Maranhão
Fernão,3515657,MARILIA,351565,Sudeste,SP,"-22.3590000\,-49.5210000",35,SP-Fernão,São Paulo
Tocantinópolis,1721208,OCIDENTAL DO TOCANTINS,172120,Norte,TO,"-6.3290000\,-47.4160000",17,TO-Tocantinópolis,Tocantins
Lafaiete Coutinho,2918704,CENTRO SUL BAIANO,291870,Nordeste,BA,"-13.6560000\,-40.2130000",29,BA-Lafaiete Coutinho,Bahia
Camaçari,2905701,METROPOLITANA DE SALVADOR,290570,Nordeste,BA,"-12.6980000\,-38.3240000",29,BA-Camaçari,Bahia
Mato Rico,4115739,CENTRO-SUL PARANAENSE,411573,Sul,PR,"-24.7050000\,-52.1460000",41,PR-Mato Rico,Paraná
Macapá,1600303,SUL DO AMAPA,160030,Norte,AP,"0.0390000\,-51.0660000",16,AP-Macapá,Amapá
Emas,2505907,SERTAO PARAIBANO,250590,Nordeste,PB,"-7.1080000\,-37.7160000",25,PB-Emas,Paraíba
Materlândia,3140605,VALE DO RIO DOCE,314060,Sudeste,MG,"-18.4740000\,-43.0600000",31,MG-Materlândia,Minas Gerais
Buritirana,2102358,OESTE MARANHENSE,210235,Nordeste,MA,"-5.5930000\,-47.0180000",21,MA-Buritirana,Maranhão
Santa Cruz do Escalvado,3157401,ZONA DA MATA,315740,Sudeste,MG,"-20.2360000\,-42.8140000",31,MG-Santa Cruz do Escalvado,Minas Gerais
Felipe Guerra,2403707,OESTE POTIGUAR,240370,Nordeste,RN,"-5.6030000\,-37.6890000",24,RN-Felipe Guerra,Rio Grande do Norte
Mirangaba,2921401,CENTRO NORTE BAIANO,292140,Nordeste,BA,"-10.9540000\,-40.5760000",29,BA-Mirangaba,Bahia
Laje,2918803,CENTRO SUL BAIANO,291880,Nordeste,BA,"-13.1820000\,-39.4250000",29,BA-Laje,Bahia
Guaiúba,2304954,METROPOLITANA DE FORTALEZA,230495,Nordeste,CE,"-4.0400000\,-38.6370000",23,CE-Guaiúba,Ceará
Lagoa Vermelha,4311304,NORDESTE RIO-GRANDENSE,431130,Sul,RS,"-28.2090000\,-51.5260000",43,RS-Lagoa Vermelha,Rio Grande do Sul
Tremembé,3554805,VALE DO PARAIBA PAULISTA,355480,Sudeste,SP,"-22.9580000\,-45.5490000",35,SP-Tremembé,São Paulo
Boituva,3507001,ITAPETININGA,350700,Sudeste,SP,"-23.2830000\,-47.6720000",35,SP-Boituva,São Paulo
